For slice with workclass=Self-emp-not-inc the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with workclass=Private the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with workclass=Local-gov the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with workclass=? the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with workclass=Self-emp-inc the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with workclass=Federal-gov the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with workclass=State-gov the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with workclass=Never-worked the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with workclass=Without-pay the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=HS-grad the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=Some-college the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=Bachelors the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=Assoc-voc the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=Assoc-acdm the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=9th the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=5th-6th the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=11th the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=10th the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=Doctorate the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=Masters the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=12th the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
For slice with education=Prof-school the model achieved precision=0.7045840407470289, recall=0.2582451773490977 and f1=0.377959927140255
